full_text,description_clean,prevention_clean,description_length,context_length,has_root_cause,has_prevention,severity_encoded,is_resolved,hour,day_of_week,is_business_hours,has_traceback,has_exception,has_timeout,has_connection,has_file,has_permission,has_null,has_syntax,category_target,has_fix
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: DeepSeek API error 404 Not Found: . Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ",DeepSeek API failed: DeepSeek API error 404 Not Found: . Ollama fallback not yet implemented. Check your API key and connection.,,128,110,0,0,2,0,2,5,0,0,1,0,1,1,0,0,0,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at q (http://tauri.localhost/assets/index-BqyzVU-L.js:179:47609)\n at async j (http://tauri.localhost/assets/index-BqyzVU-L.js:31:5096)""} ",Failed to communicate with agent,,32,292,0,0,2,0,2,5,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ",DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection.,,304,110,0,0,2,0,6,4,0,0,0,0,1,1,0,0,0,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at handleSendMessage (http://localhost:5173/src/App.tsx:191:13)\n at async handleSubmit (http://localhost:5173/src/components/ChatInterface.tsx:90:24)""} ",Failed to communicate with agent,,32,307,0,0,2,0,6,4,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ",DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection.,,304,110,0,0,2,0,5,4,0,0,0,0,1,1,0,0,0,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at q (http://tauri.localhost/assets/index-BqyzVU-L.js:179:47609)\n at async j (http://tauri.localhost/assets/index-BqyzVU-L.js:31:5096)""} ",Failed to communicate with agent,,32,292,0,0,2,0,5,4,0,0,1,0,0,1,0,0,0,unknown,0
"Cannot read properties of undefined (reading 'split') {""file"":""unknown"",""function"":""componentDidCatch"",""component"":""ErrorBoundary"",""operation"":""React component render"",""stack"":""\n at fM (http://tauri.localhost/assets/index-BOS22o0r.js:9:81646)\n at div (<anonymous>)\n at div (<anonymous>)\n at div (<anonymous>)\n at dM (http://tauri.localhost/assets/index-BOS22o0r.js:9:75515)\n at main (<anonymous>)\n at div (<anonymous>)\n at rK (http://tauri.localhost/assets/index-BOS22o0r.js:179:45227)\n at XY (http://tauri.localhost/assets/index-BOS22o0r.js:138:5588)\n at aK (http://tauri.localhost/assets/index-BOS22o0r.js:185:5259)\n at zk (http://tauri.localhost/assets/index-BOS22o0r.js:9:68488)""} ",Cannot read properties of undefined (reading 'split'),,53,641,0,0,4,0,4,4,0,0,1,0,0,1,0,1,0,unknown,0
"Edit proposal not found: 816e394d-75c6-4d5b-b957-c0b63ab0b07b {""file"":""unknown"",""function"":""handleApproveEdit"",""component"":""ChatInterface"",""operation"":""approve edit"",""stack"":""""} ",Edit proposal not found: 816e394d-75c6-4d5b-b957-c0b63ab0b07b,,61,115,0,0,3,0,3,4,0,0,0,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 224148 tokens (220052 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ","DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 224148 tokens (220052 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection.",,425,110,0,0,2,0,2,4,0,0,1,0,1,1,0,1,1,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at q (http://tauri.localhost/assets/index-BOS22o0r.js:179:47609)\n at async j (http://tauri.localhost/assets/index-BOS22o0r.js:31:5096)""} ",Failed to communicate with agent,,32,292,0,0,2,0,2,4,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""Messages with role 'tool' must be a response to a preceding message with 'tool_calls'"",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ","DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""Messages with role 'tool' must be a response to a preceding message with 'tool_calls'"",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection.",,314,110,0,0,2,0,1,4,0,0,1,0,1,1,0,1,1,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at q (http://tauri.localhost/assets/index-BOS22o0r.js:179:47609)\n at async j (http://tauri.localhost/assets/index-BOS22o0r.js:31:5096)""} ",Failed to communicate with agent,,32,292,0,0,2,0,1,4,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ",DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection.,,304,110,0,0,2,0,1,4,0,0,0,0,1,1,0,0,0,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at q (http://tauri.localhost/assets/index-BOS22o0r.js:179:47609)\n at async j (http://tauri.localhost/assets/index-BOS22o0r.js:31:5096)""} ",Failed to communicate with agent,,32,292,0,0,2,0,1,4,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ",DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection.,,304,110,0,0,2,0,0,4,0,0,0,0,1,1,0,0,0,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at q (http://tauri.localhost/assets/index-BGhXPlsI.js:179:47609)\n at async j (http://tauri.localhost/assets/index-BGhXPlsI.js:31:5096)""} ",Failed to communicate with agent,,32,292,0,0,2,0,0,4,0,0,1,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 553398 tokens (549302 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ","DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 553398 tokens (549302 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection.",,425,110,0,0,2,0,1,3,0,0,1,0,1,1,0,1,1,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at handleSendMessage (http://localhost:5173/src/App.tsx:191:13)\n at async handleSubmit (http://localhost:5173/src/components/ChatInterface.tsx:90:24)""} ",Failed to communicate with agent,,32,307,0,0,2,0,1,3,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ",DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection.,,304,110,0,0,2,0,20,2,0,0,0,0,1,1,0,0,0,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at handleSendMessage (http://localhost:5173/src/App.tsx:191:13)\n at async handleSubmit (http://localhost:5173/src/components/ChatInterface.tsx:90:24)""} ",Failed to communicate with agent,,32,307,0,0,2,0,20,2,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ",DeepSeek API failed: Planning took too long - DeepSeek AI made 25 attempts to analyze your project. This usually happens with very complex requirements. Try simplifying your project description or breaking it into smaller projects.. Ollama fallback not yet implemented. Check your API key and connection.,,304,110,0,0,2,0,19,2,0,0,0,0,1,1,0,0,0,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at handleSendMessage (http://localhost:5173/src/App.tsx:191:13)\n at async handleSubmit (http://localhost:5173/src/components/ChatInterface.tsx:90:24)""} ",Failed to communicate with agent,,32,307,0,0,2,0,19,2,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 713252 tokens (709156 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ","DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 713252 tokens (709156 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection.",,425,110,0,0,2,0,18,2,0,0,1,0,1,1,0,1,1,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at handleSendMessage (http://localhost:5173/src/App.tsx:191:13)\n at async handleSubmit (http://localhost:5173/src/components/ChatInterface.tsx:90:24)""} ",Failed to communicate with agent,,32,307,0,0,2,0,18,2,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 143913 tokens (139817 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ","DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 143913 tokens (139817 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection.",,425,110,0,0,2,0,18,2,0,0,1,0,1,1,0,1,1,unknown,0
"Failed to communicate with agent {""file"":""unknown"",""function"":""handleSubmit"",""component"":""ChatInterface"",""operation"":""send chat message"",""stack"":""Error: Failed to communicate with agent\n at handleSendMessage (http://localhost:5173/src/App.tsx:191:13)\n at async handleSubmit (http://localhost:5173/src/components/ChatInterface.tsx:90:24)""} ",Failed to communicate with agent,,32,307,0,0,2,0,18,2,0,0,1,0,0,1,0,0,0,unknown,0
"DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 210167 tokens (206071 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection. {""file"":""unknown"",""function"":""handleSendMessage"",""component"":""App"",""operation"":""send chat message"",""stack"":""""} ","DeepSeek API failed: DeepSeek API error 400 Bad Request: {""error"":{""message"":""This model's maximum context length is 131072 tokens. However, you requested 210167 tokens (206071 in the messages, 4096 in the completion). Please reduce the length of the messages or completion."",""type"":""invalid_request_error"",""param"":null,""code"":""invalid_request_error""}}. Ollama fallback not yet implemented. Check your API key and connection.",,425,110,0,0,2,0,18,2,0,0,1,0,1,1,0,1,1,unknown,0
